"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"893",5,2011,1,2
"894",7,2011,1,2
"895",10,2011,1,1
"896",1,2012,1,1
"897",3,2013,1,2
"898",5,2013,1,1
"899",9,2013,1,2
"900",10,2013,1,1
"901",4,2014,1,2
"902",9,2014,1,3
"903",12,2014,1,1
"904",2,2015,1,1
"905",5,2015,1,1
"906",6,2015,1,1
"907",7,2015,1,2
"908",9,2015,1,1
"909",5,2016,1,2
"910",6,2016,1,3
"911",9,2016,1,1
"912",6,1997,1.1,1
"913",8,1997,1.1,1
"914",4,1998,1.1,1
"915",10,1998,1.1,1
"916",4,1999,1.1,2
"917",6,2000,1.1,1
"918",3,2001,1.1,7
"919",5,2001,1.1,2
"920",6,2001,1.1,1
"921",10,2001,1.1,2
"922",11,2001,1.1,2
"923",2,2002,1.1,2
"924",4,2002,1.1,3
"925",5,2002,1.1,1
"926",7,2002,1.1,1
"927",10,2002,1.1,1
"928",7,2003,1.1,1
"929",11,2003,1.1,1
"930",1,2004,1.1,1
"931",5,2004,1.1,1
"932",6,2005,1.1,2
"933",9,2005,1.1,2
"934",12,2005,1.1,1
"935",1,2006,1.1,2
"936",3,2006,1.1,1
"937",4,2006,1.1,4
"938",12,2006,1.1,1
"939",1,2007,1.1,1
"940",10,2007,1.1,1
"941",2,2008,1.1,1
"942",1,2009,1.1,1
"943",4,2009,1.1,2
"944",7,2009,1.1,1
"945",8,2009,1.1,1
"946",11,2009,1.1,2
"947",12,2009,1.1,1
"948",3,2010,1.1,1
"949",4,2011,1.1,1
"950",7,2011,1.1,1
"951",3,2012,1.1,2
"952",7,2012,1.1,4
"953",1,2013,1.1,3
"954",12,2013,1.1,4
"955",8,2014,1.1,1
"956",2,2015,1.1,1
"957",5,2015,1.1,1
"958",7,2015,1.1,2
"959",1,2016,1.1,1
"960",2,2016,1.1,1
"961",5,2016,1.1,1
"962",9,2016,1.1,1
"963",5,1997,1.2,1
"964",10,2000,1.2,1
"965",6,2001,1.2,1
"966",11,2001,1.2,1
"967",2,2002,1.2,1
"968",3,2002,1.2,2
"969",4,2002,1.2,1
"970",5,2002,1.2,1
"971",8,2002,1.2,1
"972",10,2002,1.2,2
"973",4,2003,1.2,1
"974",7,2003,1.2,2
"975",1,2004,1.2,1
"976",3,2004,1.2,1
"977",6,2004,1.2,4
"978",8,2004,1.2,1
"979",10,2005,1.2,2
"980",12,2005,1.2,2
"981",12,2006,1.2,1
"982",1,2007,1.2,1
"983",2,2007,1.2,2
"984",3,2007,1.2,1
"985",4,2007,1.2,2
"986",7,2007,1.2,1
"987",11,2007,1.2,1
"988",12,2007,1.2,1
"989",7,2008,1.2,2
"990",1,2009,1.2,2
"991",4,2009,1.2,1
"992",11,2009,1.2,1
"993",12,2009,1.2,2
"994",2,2010,1.2,1
